[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/setup/lang/zh_cn&1454657115401401 | INFO: Run LocationTemplate Behavior [ RunTime:0.005000s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/setup/lang/zh_cn&1454657115401401 | INFO: Tag[ view_template ] --END-- [ RunTime:0.005000s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/setup/lang/zh_cn&1454657115401401 | INFO: Tag[ view_parse ] --START--
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/setup/lang/zh_cn&1454657115401401 | INFO: Run ParseTemplate Behavior [ RunTime:0.072004s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/setup/lang/zh_cn&1454657115401401 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.072004s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/setup/lang/zh_cn&1454657115401401 | INFO: Tag[ view_filter ] --START--
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/setup/lang/zh_cn&1454657115401401 | INFO: Run ContentReplace Behavior [ RunTime:0.004000s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/setup/lang/zh_cn&1454657115401401 | INFO: Run TokenBuild Behavior [ RunTime:0.004001s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/setup/lang/zh_cn&1454657115401401 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.007000s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/setup/lang/zh_cn&1454657115401401 | INFO: Run ShowRuntime Behavior [ RunTime:0.011001s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/setup/lang/zh_cn&1454657115401401 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.026002s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/setup/lang/zh_cn&1454657115401401 | INFO: Tag[ view_end ] --START--
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/setup/lang/zh_cn&1454657115401401 | INFO: Run ShowPageTrace Behavior [ RunTime:0.006000s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/setup/lang/zh_cn&1454657115401401 | INFO: Tag[ view_end ] --END-- [ RunTime:0.006000s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/setup/lang/zh_cn&1454657115401401 | INFO: Tag[ app_end ] --START--
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/setup/lang/zh_cn&1454657115401401 | INFO: Run SaveConfig Behavior [ RunTime:0.007000s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/setup/lang/zh_cn&1454657115401401 | INFO: Tag[ app_end ] --END-- [ RunTime:0.007000s ]
