[ 2016-02-06T09:40:42+08:00 ] /index.php?s=/Admin/User/index&_=1454722841624 | SQL: ( SELECT user.*,推荐.姓名 as netname17,管理.姓名 as netname18,b.电子货币,b.消费货币,b.游戏钱包 FROM dms_会员 user inner join dms_货币 b on user.id=b.userid LEFT JOIN dms_会员 as 推荐 on user.推荐_上级编号=推荐.编号 LEFT JOIN dms_会员 as 管理 on user.管理_上级编号=管理.编号 WHERE 1 AND (1) ORDER BY user.id desc LIMIT 0,25   ) [ RunTime:0.002000s ]
[ 2016-02-06T09:40:42+08:00 ] /index.php?s=/Admin/User/index&_=1454722841624 | SQL: select count(1) num  FROM dms_会员 user inner join dms_货币 b on user.id=b.userid LEFT JOIN dms_会员 as 推荐 on user.推荐_上级编号=推荐.编号 LEFT JOIN dms_会员 as 管理 on user.管理_上级编号=管理.编号 WHERE 1 AND (1)  [ RunTime:0.001000s ]
[ 2016-02-06T09:40:42+08:00 ] /index.php?s=/Admin/User/index&_=1454722841624 | INFO: Tag[ view_template ] --START--
[ 2016-02-06T09:40:42+08:00 ] /index.php?s=/Admin/User/index&_=1454722841624 | INFO: Run LocationTemplate Behavior [ RunTime:0.004000s ]
[ 2016-02-06T09:40:42+08:00 ] /index.php?s=/Admin/User/index&_=1454722841624 | INFO: Tag[ view_template ] --END-- [ RunTime:0.004000s ]
[ 2016-02-06T09:40:42+08:00 ] /index.php?s=/Admin/User/index&_=1454722841624 | INFO: Tag[ view_parse ] --START--
[ 2016-02-06T09:40:42+08:00 ] /index.php?s=/Admin/User/index&_=1454722841624 | INFO: Run ParseTemplate Behavior [ RunTime:0.028002s ]
[ 2016-02-06T09:40:42+08:00 ] /index.php?s=/Admin/User/index&_=1454722841624 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.028002s ]
[ 2016-02-06T09:40:42+08:00 ] /index.php?s=/Admin/User/index&_=1454722841624 | INFO: Tag[ view_filter ] --START--
[ 2016-02-06T09:40:42+08:00 ] /index.php?s=/Admin/User/index&_=1454722841624 | INFO: Run ContentReplace Behavior [ RunTime:0.002000s ]
[ 2016-02-06T09:40:42+08:00 ] /index.php?s=/Admin/User/index&_=1454722841624 | INFO: Run TokenBuild Behavior [ RunTime:0.003000s ]
[ 2016-02-06T09:40:42+08:00 ] /index.php?s=/Admin/User/index&_=1454722841624 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-02-06T09:40:42+08:00 ] /index.php?s=/Admin/User/index&_=1454722841624 | INFO: Run ShowRuntime Behavior [ RunTime:0.003001s ]
[ 2016-02-06T09:40:42+08:00 ] /index.php?s=/Admin/User/index&_=1454722841624 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.009001s ]
[ 2016-02-06T09:40:42+08:00 ] /index.php?s=/Admin/User/index&_=1454722841624 | INFO: Tag[ view_end ] --START--
[ 2016-02-06T09:40:42+08:00 ] /index.php?s=/Admin/User/index&_=1454722841624 | INFO: Run ShowPageTrace Behavior [ RunTime:0.002000s ]
[ 2016-02-06T09:40:42+08:00 ] /index.php?s=/Admin/User/index&_=1454722841624 | INFO: Tag[ view_end ] --END-- [ RunTime:0.002000s ]
[ 2016-02-06T09:40:42+08:00 ] /index.php?s=/Admin/User/index&_=1454722841624 | INFO: Tag[ app_end ] --START--
[ 2016-02-06T09:40:42+08:00 ] /index.php?s=/Admin/User/index&_=1454722841624 | INFO: Run SaveConfig Behavior [ RunTime:0.002000s ]
[ 2016-02-06T09:40:42+08:00 ] /index.php?s=/Admin/User/index&_=1454722841624 | INFO: Tag[ app_end ] --END-- [ RunTime:0.002000s ]
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | INFO: Tag[ app_init ] --START--
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | INFO: Run XSS Behavior [ RunTime:0.001000s ]
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | INFO: Tag[ app_init ] --END-- [ RunTime:0.002000s ]
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | INFO: Tag[ route_check ] --START--
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | INFO: Tag[ app_begin ] --START--
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | INFO: Run CheckLang Behavior [ RunTime:0.006001s ]
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.009001s ]
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | SQL: SHOW COLUMNS FROM `config` [ RunTime:0.028001s ]
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | SQL: SELECT * FROM `config` WHERE ( `name` = 'DIFFTIME' ) LIMIT 1   FOR UPDATE  [ RunTime:0.001000s ]
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | SQL: SHOW COLUMNS FROM `dms_报单` [ RunTime:0.041003s ]
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | SQL: SHOW COLUMNS FROM `xtable_set` [ RunTime:0.020001s ]
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | SQL: SELECT * FROM `xtable_set` WHERE 地址='/index.php?s=/Admin/Sale/index' LIMIT 1   [ RunTime:0.001000s ]
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | SQL: INSERT INTO `xtable_set` (`地址`,`标题`,`显示`,`排序`,`数组MD5`) VALUES ('/index.php?s=/Admin/Sale/index','会员编号,姓名,订单状�\�,付款日期,服务中心,付款�\�,注册�\�,订单类别,报单金额,实付�\�','1,1,1,1,1,1,1,1,1,1','0,1,2,3,4,5,6,7,8,9','640790b058208ddbe085c9d5558ea185') [ RunTime:0.001000s ]
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | SQL: EXPLAIN ( SELECT a.*,b.姓名 FROM dms_报单 as a LEFT JOIN dms_会员 as b on a.编号=b.编号 WHERE ( a.产品 = 0 ) AND ( a.报单状态 <> '未确�\�' ) ORDER BY 购买日期 desc LIMIT 0,25   ) [ RunTime:0.002000s ]
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | SQL: ( SELECT a.*,b.姓名 FROM dms_报单 as a LEFT JOIN dms_会员 as b on a.编号=b.编号 WHERE ( a.产品 = 0 ) AND ( a.报单状态 <> '未确�\�' ) ORDER BY 购买日期 desc LIMIT 0,25   ) [ RunTime:0.002000s ]
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | SQL: select count(1) num  FROM dms_报单 as a LEFT JOIN dms_会员 as b on a.编号=b.编号 WHERE ( a.产品 = 0 ) AND ( a.报单状态 <> '未确�\�' )  [ RunTime:0.000000s ]
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | INFO: Tag[ view_template ] --START--
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | INFO: Run LocationTemplate Behavior [ RunTime:0.004001s ]
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | INFO: Tag[ view_template ] --END-- [ RunTime:0.004001s ]
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | INFO: Tag[ view_parse ] --START--
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | INFO: Run ParseTemplate Behavior [ RunTime:0.040002s ]
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.040002s ]
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | INFO: Tag[ view_filter ] --START--
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | INFO: Run ContentReplace Behavior [ RunTime:0.002000s ]
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | INFO: Run TokenBuild Behavior [ RunTime:0.002000s ]
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.003000s ]
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | INFO: Run ShowRuntime Behavior [ RunTime:0.002000s ]
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.010000s ]
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | INFO: Tag[ view_end ] --START--
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | INFO: Run ShowPageTrace Behavior [ RunTime:0.002001s ]
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | INFO: Tag[ view_end ] --END-- [ RunTime:0.002001s ]
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | INFO: Tag[ app_end ] --START--
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | INFO: Run SaveConfig Behavior [ RunTime:0.002000s ]
[ 2016-02-06T09:40:44+08:00 ] /index.php?s=/Admin/Sale/index&_=1454722843983 | INFO: Tag[ app_end ] --END-- [ RunTime:0.002000s ]
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | INFO: Tag[ app_init ] --START--
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | INFO: Run XSS Behavior [ RunTime:0.005000s ]
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | INFO: Tag[ app_init ] --END-- [ RunTime:0.005000s ]
