[ 2016-02-04T16:47:45+08:00 ] /index.php?s=/Admin/User/index&_=1454575665254 | INFO: Tag[ app_init ] --START--
[ 2016-02-04T16:47:45+08:00 ] /index.php?s=/Admin/User/index&_=1454575665254 | INFO: Run XSS Behavior [ RunTime:0.007000s ]
[ 2016-02-04T16:47:45+08:00 ] /index.php?s=/Admin/User/index&_=1454575665254 | INFO: Tag[ app_init ] --END-- [ RunTime:0.012001s ]
[ 2016-02-04T16:47:45+08:00 ] /index.php?s=/Admin/User/index&_=1454575665254 | INFO: Tag[ route_check ] --START--
[ 2016-02-04T16:47:45+08:00 ] /index.php?s=/Admin/User/index&_=1454575665254 | INFO: Run CheckRoute Behavior [ RunTime:0.016001s ]
[ 2016-02-04T16:47:45+08:00 ] /index.php?s=/Admin/User/index&_=1454575665254 | INFO: Tag[ route_check ] --END-- [ RunTime:0.022001s ]
[ 2016-02-04T16:47:45+08:00 ] /index.php?s=/Admin/User/index&_=1454575665254 | INFO: Tag[ app_begin ] --START--
[ 2016-02-04T16:47:45+08:00 ] /index.php?s=/Admin/User/index&_=1454575665254 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.019001s ]
[ 2016-02-04T16:47:45+08:00 ] /index.php?s=/Admin/User/index&_=1454575665254 | INFO: Run CheckLang Behavior [ RunTime:0.045003s ]
[ 2016-02-04T16:47:45+08:00 ] /index.php?s=/Admin/User/index&_=1454575665254 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.073004s ]
[ 2016-02-04T16:47:45+08:00 ] /index.php?s=/Admin/User/index&_=1454575665254 | SQL: SHOW COLUMNS FROM `config` [ RunTime:0.032002s ]
[ 2016-02-04T16:47:45+08:00 ] /index.php?s=/Admin/User/index&_=1454575665254 | SQL: SELECT * FROM `config` WHERE ( `name` = 'DIFFTIME' ) LIMIT 1   FOR UPDATE  [ RunTime:0.004000s ]
[ 2016-02-04T16:47:46+08:00 ] /index.php?s=/Admin/User/index&_=1454575665254 | SQL: SHOW COLUMNS FROM `dms_会员` [ RunTime:0.043003s ]
[ 2016-02-04T16:47:48+08:00 ] /index.php?s=/Admin/User/index&_=1454575665254 | SQL: SHOW COLUMNS FROM `xtable_set` [ RunTime:0.028001s ]
[ 2016-02-04T16:47:48+08:00 ] /index.php?s=/Admin/User/index&_=1454575665254 | SQL: SELECT * FROM `xtable_set` WHERE 地址='/index.php?s=/Admin/User/index' LIMIT 1   [ RunTime:0.005000s ]
[ 2016-02-04T16:47:50+08:00 ] /index.php?s=/Admin/User/index&_=1454575665254 | SQL: EXPLAIN ( SELECT user.*,推荐.姓名 as netname17,管理.姓名 as netname18,b.电子货币,b.消费货币,b.游戏钱包 FROM dms_会员 user inner join dms_货币 b on user.id=b.userid LEFT JOIN dms_会员 as 推荐 on user.推荐_上级编号=推荐.编号 LEFT JOIN dms_会员 as 管理 on user.管理_上级编号=管理.编号 WHERE 1 AND (1) ORDER BY user.id desc LIMIT 0,25   ) [ RunTime:0.004001s ]
[ 2016-02-04T16:47:50+08:00 ] /index.php?s=/Admin/User/index&_=1454575665254 | SQL: ( SELECT user.*,推荐.姓名 as netname17,管理.姓名 as netname18,b.电子货币,b.消费货币,b.游戏钱包 FROM dms_会员 user inner join dms_货币 b on user.id=b.userid LEFT JOIN dms_会员 as 推荐 on user.推荐_上级编号=推荐.编号 LEFT JOIN dms_会员 as 管理 on user.管理_上级编号=管理.编号 WHERE 1 AND (1) ORDER BY user.id desc LIMIT 0,25   ) [ RunTime:0.004000s ]
