[ 2016-02-05T09:54:54+08:00 ] /index.php?s=/Admin/User/index&_=1454637293421 | INFO: Run SaveConfig Behavior [ RunTime:0.001000s ]
[ 2016-02-05T09:54:54+08:00 ] /index.php?s=/Admin/User/index&_=1454637293421 | INFO: Tag[ app_end ] --END-- [ RunTime:0.002001s ]
[ 2016-02-05T09:54:55+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454637295426 | INFO: Tag[ app_init ] --START--
[ 2016-02-05T09:54:55+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454637295426 | INFO: Run XSS Behavior [ RunTime:0.002000s ]
[ 2016-02-05T09:54:55+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454637295426 | INFO: Tag[ app_init ] --END-- [ RunTime:0.002000s ]
[ 2016-02-05T09:54:55+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454637295426 | INFO: Tag[ route_check ] --START--
[ 2016-02-05T09:54:55+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454637295426 | INFO: Run CheckRoute Behavior [ RunTime:0.003000s ]
[ 2016-02-05T09:54:55+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454637295426 | INFO: Tag[ route_check ] --END-- [ RunTime:0.003000s ]
[ 2016-02-05T09:54:55+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454637295426 | INFO: Tag[ app_begin ] --START--
[ 2016-02-05T09:54:55+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454637295426 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-02-05T09:54:55+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454637295426 | INFO: Run CheckLang Behavior [ RunTime:0.010000s ]
[ 2016-02-05T09:54:55+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454637295426 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.012000s ]
[ 2016-02-05T09:54:55+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454637295426 | SQL: SHOW COLUMNS FROM `config` [ RunTime:0.020001s ]
[ 2016-02-05T09:54:55+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454637295426 | SQL: SELECT * FROM `config` WHERE ( `name` = 'DIFFTIME' ) LIMIT 1   FOR UPDATE  [ RunTime:0.001000s ]
[ 2016-02-05T09:54:56+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454637295426 | INFO: Tag[ view_template ] --START--
[ 2016-02-05T09:54:56+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454637295426 | INFO: Run LocationTemplate Behavior [ RunTime:0.007000s ]
[ 2016-02-05T09:54:56+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454637295426 | INFO: Tag[ view_template ] --END-- [ RunTime:0.007000s ]
[ 2016-02-05T09:54:56+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454637295426 | INFO: Tag[ view_parse ] --START--
[ 2016-02-05T09:54:56+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454637295426 | INFO: Run ParseTemplate Behavior [ RunTime:0.045003s ]
[ 2016-02-05T09:54:56+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454637295426 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.045003s ]
[ 2016-02-05T09:54:56+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454637295426 | INFO: Tag[ view_filter ] --START--
[ 2016-02-05T09:54:56+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454637295426 | INFO: Run ContentReplace Behavior [ RunTime:0.002000s ]
[ 2016-02-05T09:54:56+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454637295426 | INFO: Run TokenBuild Behavior [ RunTime:0.002000s ]
[ 2016-02-05T09:54:56+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454637295426 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-02-05T09:54:56+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454637295426 | INFO: Run ShowRuntime Behavior [ RunTime:0.002000s ]
[ 2016-02-05T09:54:56+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454637295426 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.008000s ]
[ 2016-02-05T09:54:56+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454637295426 | INFO: Tag[ view_end ] --START--
[ 2016-02-05T09:54:56+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454637295426 | INFO: Run ShowPageTrace Behavior [ RunTime:0.002000s ]
[ 2016-02-05T09:54:56+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454637295426 | INFO: Tag[ view_end ] --END-- [ RunTime:0.002000s ]
[ 2016-02-05T09:54:56+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454637295426 | INFO: Tag[ app_end ] --START--
[ 2016-02-05T09:54:56+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454637295426 | INFO: Run SaveConfig Behavior [ RunTime:0.002000s ]
[ 2016-02-05T09:54:56+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454637295426 | INFO: Tag[ app_end ] --END-- [ RunTime:0.002000s ]
[ 2016-02-05T09:55:13+08:00 ] /index.php?s=/Admin/AuthCheck/index&_=1454637313579 | ERR: (ThinkException) 非法操作index
[ 2016-02-05T09:55:13+08:00 ] /index.php?s=/Admin/AuthCheck/index&_=1454637313579 | ERR: (ThinkException) [16-02-05 09:55:02]  () Action->__call(index, array)
