[ 2016-02-06T09:40:38+08:00 ] /pc_denglu.php?s=/Public/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-02-06T09:40:38+08:00 ] /pc_denglu.php?s=/Public/verify/ | INFO: Tag[ app_end ] --START--
[ 2016-02-06T09:40:38+08:00 ] /pc_denglu.php?s=/Public/verify/ | INFO: Run SaveConfig Behavior [ RunTime:0.003000s ]
[ 2016-02-06T09:40:38+08:00 ] /pc_denglu.php?s=/Public/verify/ | INFO: Tag[ app_end ] --END-- [ RunTime:0.003000s ]
[ 2016-02-06T09:40:38+08:00 ] /pc_denglu.php?s=/Public/crateloginstr/ | INFO: Tag[ app_init ] --START--
[ 2016-02-06T09:40:38+08:00 ] /pc_denglu.php?s=/Public/crateloginstr/ | INFO: Run XSS Behavior [ RunTime:0.001001s ]
[ 2016-02-06T09:40:38+08:00 ] /pc_denglu.php?s=/Public/crateloginstr/ | INFO: Tag[ app_init ] --END-- [ RunTime:0.002001s ]
[ 2016-02-06T09:40:38+08:00 ] /pc_denglu.php?s=/Public/crateloginstr/ | INFO: Tag[ route_check ] --START--
[ 2016-02-06T09:40:38+08:00 ] /pc_denglu.php?s=/Public/crateloginstr/ | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-02-06T09:40:38+08:00 ] /pc_denglu.php?s=/Public/crateloginstr/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-02-06T09:40:38+08:00 ] /pc_denglu.php?s=/Public/crateloginstr/ | INFO: Tag[ app_begin ] --START--
[ 2016-02-06T09:40:38+08:00 ] /pc_denglu.php?s=/Public/crateloginstr/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004000s ]
[ 2016-02-06T09:40:38+08:00 ] /pc_denglu.php?s=/Public/crateloginstr/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004000s ]
[ 2016-02-06T09:40:38+08:00 ] /pc_denglu.php?s=/Public/crateloginstr/ | INFO: Tag[ app_end ] --START--
[ 2016-02-06T09:40:38+08:00 ] /pc_denglu.php?s=/Public/crateloginstr/ | INFO: Run SaveConfig Behavior [ RunTime:0.003000s ]
[ 2016-02-06T09:40:38+08:00 ] /pc_denglu.php?s=/Public/crateloginstr/ | INFO: Tag[ app_end ] --END-- [ RunTime:0.003000s ]
[ 2016-02-06T09:40:39+08:00 ] /pc_denglu.php?s= | INFO: Tag[ app_init ] --START--
[ 2016-02-06T09:40:39+08:00 ] /pc_denglu.php?s= | INFO: Run XSS Behavior [ RunTime:0.002000s ]
[ 2016-02-06T09:40:39+08:00 ] /pc_denglu.php?s= | INFO: Tag[ app_init ] --END-- [ RunTime:0.002000s ]
[ 2016-02-06T09:40:39+08:00 ] /pc_denglu.php?s= | INFO: Tag[ app_begin ] --START--
[ 2016-02-06T09:40:39+08:00 ] /pc_denglu.php?s= | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003000s ]
